0	2025-11-28 18:51:46.003257		PnP Event: Connect	DOWN	0x0	5c 00 3f 00 3f 00 5c 00 55 00 53 00 42 00 23 00 56 00 49 00 44 00 5f 00 30 00 36 00 37 00 42 00 26 00 50 00 49 00 44 00 5f 00 32 00 33 00 30 00 33 00 23 00 36 00 26 00 32 00 64 00 61 00 30 00 65 00 61 00 63 00 35 00 26 00 30 00 26 00 34 00 23 00 7b 00 30 00 31 00 30 00 30 00 66 00 64 00 64 00 37 00 2d 00 62 00 65 00 35 00 61 00 2d 00 34 00 38 00 30 00 38 00 2d 00 39 00 31 00 66 00 35 00 2d 00 30 00 35 00 30 00 30 00 32 00 62 00 63 00 36 00 30 00 66 00 37 00 32 00 7d 00 	\.?.?.\.U.S.B.#.V.I.D._.0.6.7.B.&.P.I.D._.2.3.0.3.#.6.&.2.d.a.0.e.a.c.5.&.0.&.4.#.{.0.1.0.0.f.d.d.7.-.b.e.5.a.-.4.8.0.8.-.9.1.f.5.-.0.5.0.0.2.b.c.6.0.f.7.2.}.
3406	2025-11-28 18:51:53.839806	0.000018	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3408	2025-11-28 18:51:53.839839	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
3410	2025-11-28 18:51:53.848076	0.008226	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3412	2025-11-28 18:51:53.848255	0.000012	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3414	2025-11-28 18:51:53.848319	0.000014	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3416	2025-11-28 18:51:53.848348	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3419	2025-11-28 18:51:53.855977	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3421	2025-11-28 18:51:53.856001	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3423	2025-11-28 18:51:53.856050	0.000014	IRP_MJ_READ	UP	0x0	2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ff ff dc ba 	*.........n....*.....
3424	2025-11-28 18:51:53.856280	0.000230	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e 81 06 40 61 35 d5 40 53 64 b3 da 6e fe dc ba 	.....m.....@a5.@Sd..n...
3427	2025-11-28 18:51:53.872143	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
3429	2025-11-28 18:51:53.887837	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
3430	2025-11-28 18:51:53.888472	0.000636	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3432	2025-11-28 18:51:53.888541	0.000004	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3434	2025-11-28 18:51:53.888583	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3436	2025-11-28 18:51:53.888596	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3438	2025-11-28 18:51:53.896879	0.008277	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3440	2025-11-28 18:51:53.896964	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 54 00 00 00 00 00 00 00 00 00 00 00 	........T...........
3442	2025-11-28 18:51:53.897005	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3444	2025-11-28 18:51:53.897020	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 54 00 00 00 00 00 00 00 00 00 00 00 	........T...........
3447	2025-11-28 18:51:53.903831	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 54 00 00 00 00 00 00 00 00 00 00 00 	........T...........
3449	2025-11-28 18:51:53.903853	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 54 00 00 00 00 00 00 00 00 00 00 00 	........T...........
3451	2025-11-28 18:51:53.903903	0.000013	IRP_MJ_READ	UP	0x0	ab cd 4c 00 ea 6d 5c e6 2e 81 06 40 61 35 d5 40 ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ff ff dc ba 	..L..m\....@a5.@........n....*.........n....*.........n....*.........n....*.....
3452	2025-11-28 18:51:53.904082	0.000179	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e b1 06 40 61 35 d5 40 53 64 b3 da 29 01 dc ba 	.....m.....@a5.@Sd..)...
3455	2025-11-28 18:51:53.919856	0.000019	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
3456	2025-11-28 18:51:53.927780	0.007924	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3458	2025-11-28 18:51:53.927876	0.000009	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3460	2025-11-28 18:51:53.927923	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3462	2025-11-28 18:51:53.927938	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3465	2025-11-28 18:51:53.935721	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3467	2025-11-28 18:51:53.935745	0.000003	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3469	2025-11-28 18:51:53.935792	0.000011	IRP_MJ_READ	UP	0x0	ab cd 4c 00 ea 6d 5c e6 2e b1 06 40 61 35 d5 40 ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 	..L..m\....@a5.@........n....*.........n....*.........n....
3470	2025-11-28 18:51:53.936175	0.000383	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3472	2025-11-28 18:51:53.936261	0.000003	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3474	2025-11-28 18:51:53.936283	0.000005	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3476	2025-11-28 18:51:53.936292	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3479	2025-11-28 18:51:53.951866	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3481	2025-11-28 18:51:53.951883	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3483	2025-11-28 18:51:53.951912	0.000008	IRP_MJ_READ	UP	0x0	2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ff ff dc ba 	*.........n....*.....
3484	2025-11-28 18:51:53.952106	0.000193	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e a1 06 40 61 35 d5 40 53 64 b3 da 14 54 dc ba 	.....m.....@a5.@Sd...T..
3487	2025-11-28 18:51:53.967774	0.000017	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
3488	2025-11-28 18:51:53.976905	0.009131	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3490	2025-11-28 18:51:53.977020	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3492	2025-11-28 18:51:53.977076	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3494	2025-11-28 18:51:53.977103	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3497	2025-11-28 18:51:53.983704	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3499	2025-11-28 18:51:53.983720	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3501	2025-11-28 18:51:53.983756	0.000011	IRP_MJ_READ	UP	0x0	ab cd 4c 00 ea 6d 5c e6 2e a1 06 40 61 35 d5 40 ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 	..L..m\....@a5.@........n....*.........n....*.........n....
3502	2025-11-28 18:51:53.985220	0.001464	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3504	2025-11-28 18:51:53.985413	0.000003	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3506	2025-11-28 18:51:53.985436	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3508	2025-11-28 18:51:53.985448	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3511	2025-11-28 18:51:53.999632	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3513	2025-11-28 18:51:53.999656	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3515	2025-11-28 18:51:53.999705	0.000013	IRP_MJ_READ	UP	0x0	2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ff ff dc ba 	*.........n....*.....
3516	2025-11-28 18:51:54.000047	0.000343	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e d1 06 40 61 35 d5 40 53 64 b3 da 86 ef dc ba 	.....m.....@a5.@Sd......
3519	2025-11-28 18:51:54.015690	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
3520	2025-11-28 18:51:54.026153	0.010463	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3522	2025-11-28 18:51:54.026307	0.000011	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3524	2025-11-28 18:51:54.026367	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3526	2025-11-28 18:51:54.026405	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3529	2025-11-28 18:51:54.031867	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3531	2025-11-28 18:51:54.031891	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3533	2025-11-28 18:51:54.031939	0.000013	IRP_MJ_READ	UP	0x0	ab cd 4c 00 ea 6d 5c e6 2e d1 06 40 61 35 d5 40 ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 	..L..m\....@a5.@........n....*.........n....*.........n....
3534	2025-11-28 18:51:54.034321	0.002382	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3536	2025-11-28 18:51:54.034390	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3538	2025-11-28 18:51:54.034418	0.000006	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3540	2025-11-28 18:51:54.034430	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3543	2025-11-28 18:51:54.047502	0.000012	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3545	2025-11-28 18:51:54.047520	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3547	2025-11-28 18:51:54.047552	0.000009	IRP_MJ_READ	UP	0x0	2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ff ff dc ba 	*.........n....*.....
3548	2025-11-28 18:51:54.047729	0.000177	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e c1 06 40 61 35 d5 40 53 64 b3 da bb ba dc ba 	.....m.....@a5.@Sd......
3551	2025-11-28 18:51:54.063682	0.000017	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
3552	2025-11-28 18:51:54.075337	0.011654	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3554	2025-11-28 18:51:54.075520	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3556	2025-11-28 18:51:54.075583	0.000014	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3558	2025-11-28 18:51:54.075618	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3561	2025-11-28 18:51:54.079862	0.000020	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3563	2025-11-28 18:51:54.079884	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3565	2025-11-28 18:51:54.079934	0.000014	IRP_MJ_READ	UP	0x0	ab cd 4c 00 ea 6d 5c e6 2e c1 06 40 61 35 d5 40 ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 	..L..m\....@a5.@........n....*.........n....*.........n....
3566	2025-11-28 18:51:54.083490	0.003556	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3568	2025-11-28 18:51:54.083574	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3570	2025-11-28 18:51:54.083611	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3572	2025-11-28 18:51:54.083626	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3575	2025-11-28 18:51:54.095898	0.000021	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3577	2025-11-28 18:51:54.095921	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3579	2025-11-28 18:51:54.095969	0.000013	IRP_MJ_READ	UP	0x0	2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ff ff dc ba 	*.........n....*.....
3580	2025-11-28 18:51:54.096189	0.000219	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e f1 06 40 61 35 d5 40 53 64 b3 da fc 45 dc ba 	.....m.....@a5.@Sd...E..
3583	2025-11-28 18:51:54.112062	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
3584	2025-11-28 18:51:54.124355	0.012293	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3586	2025-11-28 18:51:54.124515	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3588	2025-11-28 18:51:54.124576	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3590	2025-11-28 18:51:54.124611	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3593	2025-11-28 18:51:54.127993	0.000015	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3595	2025-11-28 18:51:54.128015	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3597	2025-11-28 18:51:54.128058	0.000014	IRP_MJ_READ	UP	0x0	ab cd 4c 00 ea 6d 5c e6 2e f1 06 40 61 35 d5 40 ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 	..L..m\....@a5.@........n....*.........n....*.........n....
3598	2025-11-28 18:51:54.132606	0.004549	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3600	2025-11-28 18:51:54.132719	0.000008	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3602	2025-11-28 18:51:54.132767	0.000013	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3604	2025-11-28 18:51:54.132793	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3607	2025-11-28 18:51:54.143733	0.000007	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3609	2025-11-28 18:51:54.143750	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 	....................
3611	2025-11-28 18:51:54.143777	0.000007	IRP_MJ_READ	UP	0x0	2a bf ec fc 16 7f e9 93 eb 19 d1 6e f2 bf de ca 2a bf ff ff dc ba 	*.........n....*.....
3612	2025-11-28 18:51:54.144057	0.000280	IRP_MJ_WRITE	DOWN	0x0	ab cd 10 00 ed 6d 18 e6 2e e1 06 40 61 35 d5 40 53 64 b3 da c1 10 dc ba 	.....m.....@a5.@Sd......
3615	2025-11-28 18:51:54.159662	0.000016	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	....................
3616	2025-11-28 18:51:54.173303	0.013641	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3618	2025-11-28 18:51:54.173426	0.000010	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3620	2025-11-28 18:51:54.173489	0.000014	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_WAIT_ON_MASK]]]	UP	0x0	01 00 00 00 	....
3622	2025-11-28 18:51:54.173517	0.000002	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3625	2025-11-28 18:51:54.175359	0.000004	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
3627	2025-11-28 18:51:54.175365	0.000001	IRP_MJ_DEVICECONTROL: [[[bIOCTL_SERIAL_GET_COMMSTATUS]]]	UP	0x0	00 00 00 00 00 00 00 00 3e 00 00 00 00 00 00 00 00 00 00 00 	........>...........
